Console Address,OS,HW Type
l3ppap1003-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l3ppap1004-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l3ppap1005-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l3ppap1006-bmc.1dc.com,CentOS 6 X86_64,RELION 2800 TO BE FILLED BY O.E.M.
l3ppap1007-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l3ppap1008-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l3ppap1009-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l3ppap1010-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l3ppap1011-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l3ppap1012-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l3ppap1013-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l3ppap1014-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l3ppap1015-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l3ppap1016-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 W/ DUAL 1200W PS
l3ppap1017-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l3ppap1018-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l3ppap1019-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l3ppap1020-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l3ppap1021-bmc.1dc.com,CentOS 6 X86_64,RELION 1800 TO BE FILLED BY O.E.M.
l3ppap1044-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l3ppap1045-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l3ppap1046-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l3ppap1047-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l3ppap1048-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l3ppap1049-bmc.1dc.com,CentOS 6 X86_64,X9DR3-F 0123456789
l3ppap1050-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824 P100144699
l3ppap1051-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l3ppap1052-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l3ppap1053-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
l3ppap1054-bmc.1dc.com,CentOS 6 X86_64,ICEBREAKER 4824
n1ppdb003-ilo.1dc.com,SuSE Linux Enterprise Server 10 X86_64,PROLIANT BL480C G1
n1ppir003-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n1ppir004-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n1ppir005-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n1ppir006-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n1ppir007-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n1ppir010-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n1ppir012-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL380 G7
n3ppir004-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n3ppir005-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n3ppir006-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n3ppir007-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n3ppir008-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n3ppir009-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
n3ppir012-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL380 G7
nabpdb1000-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL380P GEN8
nabpdb1001-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL380P GEN8
nabpdb1002-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL380P GEN8
nappir001-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nappir002-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nappir003-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nappir004-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nappir005-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nappir006-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nappir007-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nbppdb1000-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL380P GEN8
nbppdb1001-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL380P GEN8
nbppdb1002-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL380P GEN8
nbppir001-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nbppir002-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nbppir003-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nbppir004-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nbppir005-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nbppir006-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
nbppir007-ilo.1dc.com,SuSE Linux Enterprise Server 11 X86_64,PROLIANT DL585 G7
r1bpdb999-ilo.1dc.com,Red Hat Enterprise Linux Server 5 X86_64,PROLIANT BL685C G7
r1bpir1000-ilo.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,PROLIANT DL585 G7
r1bpir1001-ilo.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,PROLIANT DL585 G7
r1bptl1000-idrac.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,POWEREDGE R730
r1dptl1000-idrac.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,POWEREDGE R730
r1ppap1004-ilo.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,PROLIANT DL380P GEN8
r1ppap1005-ilo.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,PROLIANT DL380P GEN8
r1ppap1006-ilo.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,PROLIANT DL380P GEN8
r1ppap1007-ilo.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,PROLIANT DL380P GEN8
r1ppap1008-ilo.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,PROLIANT DL380P GEN8
r1ppap1009-ilo.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,PROLIANT DL380P GEN8
r1ppap1010-ilo.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,PROLIANT DL380P GEN8
r1ppap1011-ilo.1dc.com,Red Hat Enterprise Linux Server 6 X86_64,PROLIANT DL380P GEN8
